sample,trait,value,label
1201_C_HLP_1_002_0,in_bounds,1.0,none
1201_C_HLP_1_002_0,area,248.0,pixels
1201_C_HLP_1_002_0,convex_hull_area,284.5,pixels
1201_C_HLP_1_002_0,solidity,0.8717047451669596,none
1201_C_HLP_1_002_0,perimeter,83.69848430156708,pixels
1201_C_HLP_1_002_0,width,16.0,pixels
1201_C_HLP_1_002_0,height,32.0,pixels
1201_C_HLP_1_002_0,longest_path,211.0,pixels
1201_C_HLP_1_002_0,center_of_mass,32.58870967741935,x
1201_C_HLP_1_002_0,center_of_mass,87.47177419354838,y
1201_C_HLP_1_002_0,convex_hull_vertices,13.0,none
1201_C_HLP_1_002_0,object_in_frame,1.0,none
1201_C_HLP_1_002_0,ellipse_center,32.27740859985352,x
1201_C_HLP_1_002_0,ellipse_center,87.40673065185547,y
1201_C_HLP_1_002_0,ellipse_major_axis,29.127708435058597,pixels
1201_C_HLP_1_002_0,ellipse_minor_axis,11.015633583068848,pixels
1201_C_HLP_1_002_0,ellipse_angle,6.8929643630981445,degrees
1201_C_HLP_1_002_0,ellipse_eccentricity,0.9257304437312226,none
1201_C_HLP_1_002_1,in_bounds,1.0,none
1201_C_HLP_1_002_1,area,143.0,pixels
1201_C_HLP_1_002_1,convex_hull_area,138.5,pixels
1201_C_HLP_1_002_1,solidity,1.032490974729242,none
1201_C_HLP_1_002_1,perimeter,51.69848430156708,pixels
1201_C_HLP_1_002_1,width,14.0,pixels
1201_C_HLP_1_002_1,height,17.0,pixels
1201_C_HLP_1_002_1,longest_path,117.0,pixels
1201_C_HLP_1_002_1,center_of_mass,145.6993006993007,x
1201_C_HLP_1_002_1,center_of_mass,96.8041958041958,y
1201_C_HLP_1_002_1,convex_hull_vertices,13.0,none
1201_C_HLP_1_002_1,object_in_frame,1.0,none
1201_C_HLP_1_002_1,ellipse_center,145.69329833984375,x
1201_C_HLP_1_002_1,ellipse_center,96.9073486328125,y
1201_C_HLP_1_002_1,ellipse_major_axis,17.34646224975586,pixels
1201_C_HLP_1_002_1,ellipse_minor_axis,9.80185604095459,pixels
1201_C_HLP_1_002_1,ellipse_angle,34.93979263305664,degrees
1201_C_HLP_1_002_1,ellipse_eccentricity,0.8250472843688973,none
1201_C_HLP_1_002_2,in_bounds,1.0,none
1201_C_HLP_1_002_2,area,123.0,pixels
1201_C_HLP_1_002_2,convex_hull_area,110.0,pixels
1201_C_HLP_1_002_2,solidity,1.1181818181818182,none
1201_C_HLP_1_002_2,perimeter,43.21320307254791,pixels
1201_C_HLP_1_002_2,width,16.0,pixels
1201_C_HLP_1_002_2,height,11.0,pixels
1201_C_HLP_1_002_2,longest_path,96.0,pixels
1201_C_HLP_1_002_2,center_of_mass,76.90243902439025,x
1201_C_HLP_1_002_2,center_of_mass,160.22764227642276,y
1201_C_HLP_1_002_2,convex_hull_vertices,10.0,none
1201_C_HLP_1_002_2,object_in_frame,1.0,none
1201_C_HLP_1_002_2,ellipse_center,76.99951171875,x
1201_C_HLP_1_002_2,ellipse_center,160.2178192138672,y
1201_C_HLP_1_002_2,ellipse_major_axis,14.759451866149902,pixels
1201_C_HLP_1_002_2,ellipse_minor_axis,9.333101272583008,pixels
1201_C_HLP_1_002_2,ellipse_angle,67.24109649658203,degrees
1201_C_HLP_1_002_2,ellipse_eccentricity,0.7746849317426017,none
1201_C_HLP_1_002_3,in_bounds,1.0,none
1201_C_HLP_1_002_3,area,155.0,pixels
1201_C_HLP_1_002_3,convex_hull_area,143.0,pixels
1201_C_HLP_1_002_3,solidity,1.083916083916084,none
1201_C_HLP_1_002_3,perimeter,50.62741661071777,pixels
1201_C_HLP_1_002_3,width,12.0,pixels
1201_C_HLP_1_002_3,height,20.0,pixels
1201_C_HLP_1_002_3,longest_path,135.0,pixels
1201_C_HLP_1_002_3,center_of_mass,59.70322580645161,x
1201_C_HLP_1_002_3,center_of_mass,222.8774193548387,y
1201_C_HLP_1_002_3,convex_hull_vertices,15.0,none
1201_C_HLP_1_002_3,object_in_frame,1.0,none
1201_C_HLP_1_002_3,ellipse_center,59.73548889160156,x
1201_C_HLP_1_002_3,ellipse_center,222.957275390625,y
1201_C_HLP_1_002_3,ellipse_major_axis,20.14295959472656,pixels
1201_C_HLP_1_002_3,ellipse_minor_axis,8.51850700378418,pixels
1201_C_HLP_1_002_3,ellipse_angle,160.32052612304688,degrees
1201_C_HLP_1_002_3,ellipse_eccentricity,0.9061752126744714,none
1201_C_HLP_1_002_4,in_bounds,1.0,none
1201_C_HLP_1_002_4,area,103.0,pixels
1201_C_HLP_1_002_4,convex_hull_area,97.5,pixels
1201_C_HLP_1_002_4,solidity,1.0564102564102564,none
1201_C_HLP_1_002_4,perimeter,44.62741661071777,pixels
1201_C_HLP_1_002_4,width,15.0,pixels
1201_C_HLP_1_002_4,height,11.0,pixels
1201_C_HLP_1_002_4,longest_path,87.0,pixels
1201_C_HLP_1_002_4,center_of_mass,119.64077669902912,x
1201_C_HLP_1_002_4,center_of_mass,213.55339805825244,y
1201_C_HLP_1_002_4,convex_hull_vertices,11.0,none
1201_C_HLP_1_002_4,object_in_frame,1.0,none
1201_C_HLP_1_002_4,ellipse_center,119.63384246826172,x
1201_C_HLP_1_002_4,ellipse_center,213.58737182617188,y
1201_C_HLP_1_002_4,ellipse_major_axis,15.539705276489258,pixels
1201_C_HLP_1_002_4,ellipse_minor_axis,7.520566940307617,pixels
1201_C_HLP_1_002_4,ellipse_angle,60.692665100097656,degrees
1201_C_HLP_1_002_4,ellipse_eccentricity,0.875091146015741,none
1201_C_HLP_1_002_5,in_bounds,1.0,none
1201_C_HLP_1_002_5,area,112.0,pixels
1201_C_HLP_1_002_5,convex_hull_area,100.5,pixels
1201_C_HLP_1_002_5,solidity,1.1144278606965174,none
1201_C_HLP_1_002_5,perimeter,44.28427076339722,pixels
1201_C_HLP_1_002_5,width,16.0,pixels
1201_C_HLP_1_002_5,height,14.0,pixels
1201_C_HLP_1_002_5,longest_path,113.0,pixels
1201_C_HLP_1_002_5,center_of_mass,94.75,x
1201_C_HLP_1_002_5,center_of_mass,324.3928571428572,y
1201_C_HLP_1_002_5,convex_hull_vertices,15.0,none
1201_C_HLP_1_002_5,object_in_frame,1.0,none
1201_C_HLP_1_002_5,ellipse_center,94.75012969970705,x
1201_C_HLP_1_002_5,ellipse_center,324.375244140625,y
1201_C_HLP_1_002_5,ellipse_major_axis,18.326364517211918,pixels
1201_C_HLP_1_002_5,ellipse_minor_axis,6.639644145965576,pixels
1201_C_HLP_1_002_5,ellipse_angle,129.54031372070312,degrees
1201_C_HLP_1_002_5,ellipse_eccentricity,0.9320614892791544,none
1201_C_HLP_1_002_6,in_bounds,1.0,none
1201_C_HLP_1_002_6,area,166.0,pixels
1201_C_HLP_1_002_6,convex_hull_area,147.5,pixels
1201_C_HLP_1_002_6,solidity,1.1254237288135591,none
1201_C_HLP_1_002_6,perimeter,52.97056245803833,pixels
1201_C_HLP_1_002_6,width,9.0,pixels
1201_C_HLP_1_002_6,height,23.0,pixels
1201_C_HLP_1_002_6,longest_path,23.0,pixels
1201_C_HLP_1_002_6,center_of_mass,23.06626506024097,x
1201_C_HLP_1_002_6,center_of_mass,386.7530120481928,y
1201_C_HLP_1_002_6,convex_hull_vertices,12.0,none
1201_C_HLP_1_002_6,object_in_frame,1.0,none
1201_C_HLP_1_002_6,ellipse_center,23.051345825195312,x
1201_C_HLP_1_002_6,ellipse_center,386.7550354003906,y
1201_C_HLP_1_002_6,ellipse_major_axis,22.362550735473636,pixels
1201_C_HLP_1_002_6,ellipse_minor_axis,8.151792526245117,pixels
1201_C_HLP_1_002_6,ellipse_angle,3.245678186416626,degrees
1201_C_HLP_1_002_6,ellipse_eccentricity,0.931192136453684,none
1201_C_HLP_1_002_7,in_bounds,1.0,none
1201_C_HLP_1_002_7,area,113.0,pixels
1201_C_HLP_1_002_7,convex_hull_area,107.0,pixels
1201_C_HLP_1_002_7,solidity,1.0560747663551402,none
1201_C_HLP_1_002_7,perimeter,52.62741661071777,pixels
1201_C_HLP_1_002_7,width,21.0,pixels
1201_C_HLP_1_002_7,height,12.0,pixels
1201_C_HLP_1_002_7,longest_path,129.0,pixels
1201_C_HLP_1_002_7,center_of_mass,329.8053097345133,x
1201_C_HLP_1_002_7,center_of_mass,563.2477876106195,y
1201_C_HLP_1_002_7,convex_hull_vertices,9.0,none
1201_C_HLP_1_002_7,object_in_frame,1.0,none
1201_C_HLP_1_002_7,ellipse_center,330.13671875,x
1201_C_HLP_1_002_7,ellipse_center,563.370361328125,y
1201_C_HLP_1_002_7,ellipse_major_axis,23.753374099731445,pixels
1201_C_HLP_1_002_7,ellipse_minor_axis,5.476099014282227,pixels
1201_C_HLP_1_002_7,ellipse_angle,115.37288665771484,degrees
1201_C_HLP_1_002_7,ellipse_eccentricity,0.973062887559614,none
1201_C_HLP_1_002_8,in_bounds,1.0,none
1201_C_HLP_1_002_8,area,95.0,pixels
1201_C_HLP_1_002_8,convex_hull_area,90.5,pixels
1201_C_HLP_1_002_8,solidity,1.049723756906077,none
1201_C_HLP_1_002_8,perimeter,52.38477599620819,pixels
1201_C_HLP_1_002_8,width,8.0,pixels
1201_C_HLP_1_002_8,height,17.0,pixels
1201_C_HLP_1_002_8,longest_path,14.0,pixels
1201_C_HLP_1_002_8,center_of_mass,280.3157894736842,x
1201_C_HLP_1_002_8,center_of_mass,430.2631578947368,y
1201_C_HLP_1_002_8,convex_hull_vertices,9.0,none
1201_C_HLP_1_002_8,object_in_frame,1.0,none
1201_C_HLP_1_002_8,ellipse_center,280.2994079589844,x
1201_C_HLP_1_002_8,ellipse_center,430.3871154785156,y
1201_C_HLP_1_002_8,ellipse_major_axis,14.94333553314209,pixels
1201_C_HLP_1_002_8,ellipse_minor_axis,7.287755012512207,pixels
1201_C_HLP_1_002_8,ellipse_angle,8.111085891723633,degrees
1201_C_HLP_1_002_8,ellipse_eccentricity,0.8730153905765373,none
1201_C_HLP_1_002_9,in_bounds,1.0,none
1201_C_HLP_1_002_9,area,128.0,pixels
1201_C_HLP_1_002_9,convex_hull_area,112.0,pixels
1201_C_HLP_1_002_9,solidity,1.1428571428571428,none
1201_C_HLP_1_002_9,perimeter,43.55634891986847,pixels
1201_C_HLP_1_002_9,width,9.0,pixels
1201_C_HLP_1_002_9,height,18.0,pixels
1201_C_HLP_1_002_9,longest_path,16.0,pixels
1201_C_HLP_1_002_9,center_of_mass,483.125,x
1201_C_HLP_1_002_9,center_of_mass,405.984375,y
1201_C_HLP_1_002_9,convex_hull_vertices,11.0,none
1201_C_HLP_1_002_9,object_in_frame,1.0,none
1201_C_HLP_1_002_9,ellipse_center,483.0823364257813,x
1201_C_HLP_1_002_9,ellipse_center,405.91510009765625,y
1201_C_HLP_1_002_9,ellipse_major_axis,17.3027286529541,pixels
1201_C_HLP_1_002_9,ellipse_minor_axis,8.176257133483887,pixels
1201_C_HLP_1_002_9,ellipse_angle,5.589497089385986,degrees
1201_C_HLP_1_002_9,ellipse_eccentricity,0.8813084265454897,none
1201_C_HLP_1_002_10,in_bounds,1.0,none
1201_C_HLP_1_002_10,area,166.0,pixels
1201_C_HLP_1_002_10,convex_hull_area,152.5,pixels
1201_C_HLP_1_002_10,solidity,1.0885245901639344,none
1201_C_HLP_1_002_10,perimeter,53.79898953437805,pixels
1201_C_HLP_1_002_10,width,10.0,pixels
1201_C_HLP_1_002_10,height,23.0,pixels
1201_C_HLP_1_002_10,longest_path,23.0,pixels
1201_C_HLP_1_002_10,center_of_mass,560.5542168674699,x
1201_C_HLP_1_002_10,center_of_mass,347.03614457831327,y
1201_C_HLP_1_002_10,convex_hull_vertices,14.0,none
1201_C_HLP_1_002_10,object_in_frame,1.0,none
1201_C_HLP_1_002_10,ellipse_center,560.5570678710938,x
1201_C_HLP_1_002_10,ellipse_center,347.0472412109375,y
1201_C_HLP_1_002_10,ellipse_major_axis,22.301551818847656,pixels
1201_C_HLP_1_002_10,ellipse_minor_axis,8.252556800842285,pixels
1201_C_HLP_1_002_10,ellipse_angle,7.711183547973633,degrees
1201_C_HLP_1_002_10,ellipse_eccentricity,0.929014204921204,none
1201_C_HLP_1_002_11,in_bounds,1.0,none
1201_C_HLP_1_002_11,area,313.0,pixels
1201_C_HLP_1_002_11,convex_hull_area,381.5,pixels
1201_C_HLP_1_002_11,solidity,0.8204456094364351,none
1201_C_HLP_1_002_11,perimeter,97.49747383594512,pixels
1201_C_HLP_1_002_11,width,31.0,pixels
1201_C_HLP_1_002_11,height,20.0,pixels
1201_C_HLP_1_002_11,longest_path,214.0,pixels
1201_C_HLP_1_002_11,center_of_mass,620.8849840255591,x
1201_C_HLP_1_002_11,center_of_mass,228.99361022364215,y
1201_C_HLP_1_002_11,convex_hull_vertices,11.0,none
1201_C_HLP_1_002_11,object_in_frame,1.0,none
1201_C_HLP_1_002_11,ellipse_center,620.8721313476562,x
1201_C_HLP_1_002_11,ellipse_center,228.6068572998047,y
1201_C_HLP_1_002_11,ellipse_major_axis,29.50281524658203,pixels
1201_C_HLP_1_002_11,ellipse_minor_axis,14.819110870361328,pixels
1201_C_HLP_1_002_11,ellipse_angle,109.78865051269533,degrees
1201_C_HLP_1_002_11,ellipse_eccentricity,0.8646964366398566,none
1201_C_HLP_2_001_0,in_bounds,1.0,none
1201_C_HLP_2_001_0,area,148.0,pixels
1201_C_HLP_2_001_0,convex_hull_area,132.5,pixels
1201_C_HLP_2_001_0,solidity,1.1169811320754717,none
1201_C_HLP_2_001_0,perimeter,50.5269113779068,pixels
1201_C_HLP_2_001_0,width,16.0,pixels
1201_C_HLP_2_001_0,height,17.0,pixels
1201_C_HLP_2_001_0,longest_path,130.0,pixels
1201_C_HLP_2_001_0,center_of_mass,200.52027027027023,x
1201_C_HLP_2_001_0,center_of_mass,103.97972972972973,y
1201_C_HLP_2_001_0,convex_hull_vertices,12.0,none
1201_C_HLP_2_001_0,object_in_frame,1.0,none
1201_C_HLP_2_001_0,ellipse_center,200.466064453125,x
1201_C_HLP_2_001_0,ellipse_center,104.02322387695312,y
1201_C_HLP_2_001_0,ellipse_major_axis,20.522140502929688,pixels
1201_C_HLP_2_001_0,ellipse_minor_axis,8.013030052185059,pixels
1201_C_HLP_2_001_0,ellipse_angle,42.658164978027344,degrees
1201_C_HLP_2_001_0,ellipse_eccentricity,0.920620822077726,none
1201_C_HLP_2_001_1,in_bounds,1.0,none
1201_C_HLP_2_001_1,area,138.0,pixels
1201_C_HLP_2_001_1,convex_hull_area,120.0,pixels
1201_C_HLP_2_001_1,solidity,1.15,none
1201_C_HLP_2_001_1,perimeter,55.01219260692597,pixels
1201_C_HLP_2_001_1,width,20.0,pixels
1201_C_HLP_2_001_1,height,18.0,pixels
1201_C_HLP_2_001_1,longest_path,127.0,pixels
1201_C_HLP_2_001_1,center_of_mass,52.15942028985507,x
1201_C_HLP_2_001_1,center_of_mass,115.64492753623188,y
1201_C_HLP_2_001_1,convex_hull_vertices,10.0,none
1201_C_HLP_2_001_1,object_in_frame,1.0,none
1201_C_HLP_2_001_1,ellipse_center,52.07257080078125,x
1201_C_HLP_2_001_1,ellipse_center,115.73686981201172,y
1201_C_HLP_2_001_1,ellipse_major_axis,25.690195083618164,pixels
1201_C_HLP_2_001_1,ellipse_minor_axis,6.044811248779297,pixels
1201_C_HLP_2_001_1,ellipse_angle,47.0762939453125,degrees
1201_C_HLP_2_001_1,ellipse_eccentricity,0.9719236538625324,none
1201_C_HLP_2_001_2,in_bounds,1.0,none
1201_C_HLP_2_001_2,area,187.0,pixels
1201_C_HLP_2_001_2,convex_hull_area,181.0,pixels
1201_C_HLP_2_001_2,solidity,1.033149171270718,none
1201_C_HLP_2_001_2,perimeter,67.69848430156708,pixels
1201_C_HLP_2_001_2,width,28.0,pixels
1201_C_HLP_2_001_2,height,12.0,pixels
1201_C_HLP_2_001_2,longest_path,179.0,pixels
1201_C_HLP_2_001_2,center_of_mass,372.8770053475936,x
1201_C_HLP_2_001_2,center_of_mass,99.38502673796792,y
1201_C_HLP_2_001_2,convex_hull_vertices,13.0,none
1201_C_HLP_2_001_2,object_in_frame,1.0,none
1201_C_HLP_2_001_2,ellipse_center,373.107177734375,x
1201_C_HLP_2_001_2,ellipse_center,99.354736328125,y
1201_C_HLP_2_001_2,ellipse_major_axis,28.60978126525879,pixels
1201_C_HLP_2_001_2,ellipse_minor_axis,7.57443380355835,pixels
1201_C_HLP_2_001_2,ellipse_angle,105.79205322265624,degrees
1201_C_HLP_2_001_2,ellipse_eccentricity,0.9643171390123748,none
1201_C_HLP_2_001_3,in_bounds,1.0,none
1201_C_HLP_2_001_3,area,118.0,pixels
1201_C_HLP_2_001_3,convex_hull_area,105.0,pixels
1201_C_HLP_2_001_3,solidity,1.1238095238095238,none
1201_C_HLP_2_001_3,perimeter,42.62741661071777,pixels
1201_C_HLP_2_001_3,width,10.0,pixels
1201_C_HLP_2_001_3,height,18.0,pixels
1201_C_HLP_2_001_3,longest_path,112.0,pixels
1201_C_HLP_2_001_3,center_of_mass,478.635593220339,x
1201_C_HLP_2_001_3,center_of_mass,66.5,y
1201_C_HLP_2_001_3,convex_hull_vertices,13.0,none
1201_C_HLP_2_001_3,object_in_frame,1.0,none
1201_C_HLP_2_001_3,ellipse_center,478.6034240722656,x
1201_C_HLP_2_001_3,ellipse_center,66.44666290283203,y
1201_C_HLP_2_001_3,ellipse_major_axis,16.810060501098633,pixels
1201_C_HLP_2_001_3,ellipse_minor_axis,7.713994979858398,pixels
1201_C_HLP_2_001_3,ellipse_angle,163.7102508544922,degrees
1201_C_HLP_2_001_3,ellipse_eccentricity,0.8884922797038417,none
1201_C_HLP_2_001_4,in_bounds,1.0,none
1201_C_HLP_2_001_4,area,159.0,pixels
1201_C_HLP_2_001_4,convex_hull_area,148.5,pixels
1201_C_HLP_2_001_4,solidity,1.0707070707070707,none
1201_C_HLP_2_001_4,perimeter,64.18376553058624,pixels
1201_C_HLP_2_001_4,width,25.0,pixels
1201_C_HLP_2_001_4,height,17.0,pixels
1201_C_HLP_2_001_4,longest_path,165.0,pixels
1201_C_HLP_2_001_4,center_of_mass,247.48427672955972,x
1201_C_HLP_2_001_4,center_of_mass,186.11320754716985,y
1201_C_HLP_2_001_4,convex_hull_vertices,10.0,none
1201_C_HLP_2_001_4,object_in_frame,1.0,none
1201_C_HLP_2_001_4,ellipse_center,247.34103393554688,x
1201_C_HLP_2_001_4,ellipse_center,185.97923278808597,y
1201_C_HLP_2_001_4,ellipse_major_axis,30.36956214904785,pixels
1201_C_HLP_2_001_4,ellipse_minor_axis,6.108287334442139,pixels
1201_C_HLP_2_001_4,ellipse_angle,123.09624481201172,degrees
1201_C_HLP_2_001_4,ellipse_eccentricity,0.9795641705050514,none
1201_C_HLP_2_001_5,in_bounds,1.0,none
