camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,max_temp,min_temp,mean_temp,median_temp,treatment,time
none,none,none,none,none,none,none,None,none,none,none,none,none,2329,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2329.csv,HLP_1,27.17646362,20.00135376,22.84224242,22.40472732,control,0
none,none,none,none,none,none,none,None,none,none,none,none,none,2329,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2329.csv,WT_1,28.37437115,20.26490591,23.8761705,23.85377558,control,0
none,none,none,none,none,none,none,None,none,none,none,none,none,2329,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2329.csv,HLP_2,27.05659997,22.39776153,24.19606529,24.0767625,control,0
none,none,none,none,none,none,none,None,none,none,none,none,none,2329,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2329.csv,WT_2,26.42174496,20.34312639,23.0911794,22.98817518,control,0
none,none,none,none,none,none,none,None,none,none,none,none,none,2329,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2329.csv,HLP_3,27.6280742,21.72682975,24.86482371,24.79393948,control,0
none,none,none,none,none,none,none,None,none,none,none,none,none,2329,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2329.csv,WT_3,27.7605397,20.85362335,23.94875842,23.82973312,control,0
,,,,,,,,,,,,,2329,,air,,,28,,control,0
none,none,none,none,none,none,none,None,none,none,none,none,none,2331,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2331.csv,HLP_1,27.29619305,20.0227486,22.95641065,22.59262533,control,5
none,none,none,none,none,none,none,None,none,none,none,none,none,2331,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2331.csv,WT_1,28.56506887,21.00203422,24.5884635,24.63044673,control,5
none,none,none,none,none,none,none,None,none,none,none,none,none,2331,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2331.csv,HLP_2,27.01661552,22.83568681,24.49265562,24.39839365,control,5
none,none,none,none,none,none,none,None,none,none,none,none,none,2331,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2331.csv,WT_2,26.56910119,21.27707952,23.88661917,23.91900588,control,5
none,none,none,none,none,none,none,None,none,none,none,none,none,2331,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2331.csv,HLP_3,27.6413281,22.17460593,25.21710074,25.14051712,control,5
none,none,none,none,none,none,none,None,none,none,none,none,none,2331,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2331.csv,WT_3,27.98535706,21.51625666,24.540693,24.46669806,control,5
,,,,,,,,,,,,,2331,,air,,,28,,control,5
none,none,none,none,none,none,none,None,none,none,none,none,none,2333,/shares/mgehan_share/kmurphy/thermal/03112022/csv_files/thermal/FLIR2333.csv,HLP_1,31.96097969,25.43860931,28.40070968,28.45989793,control,10
